date,temperature_celsius
2020-04-02 00:00:00.549,5.562
2020-04-02 00:00:01.509,5.562
2020-04-02 00:00:02.469,5.562
2020-04-02 00:00:03.429,5.562
2020-04-02 00:00:04.389,5.562
2020-04-02 00:00:05.429,5.562
2020-04-02 00:00:06.389,5.562
2020-04-02 00:00:07.349,5.5
2020-04-02 00:00:08.309,5.562
2020-04-02 00:00:09.269,5.562
2020-04-02 00:00:10.229,5.5
2020-04-02 00:00:11.189,5.562
2020-04-02 00:00:12.149,5.5
2020-04-02 00:00:13.149,5.5
2020-04-02 00:00:14.149,5.5
2020-04-02 00:00:15.109,5.562
2020-04-02 00:00:16.069,5.562
2020-04-02 00:00:17.029,5.5
2020-04-02 00:00:17.989,5.5
2020-04-02 00:00:18.949,5.562
2020-04-02 00:00:19.909,5.5
2020-04-02 00:00:20.869,5.5
2020-04-02 00:00:21.829,5.562
2020-04-02 00:00:22.789,5.5
2020-04-02 00:00:23.749,5.562
2020-04-02 00:00:24.709,5.5
2020-04-02 00:00:25.669,5.5
2020-04-02 00:00:26.629,5.5
2020-04-02 00:00:27.589,5.562
2020-04-02 00:00:28.549,5.5
2020-04-02 00:00:29.509,5.5
2020-04-02 00:00:30.469,5.5
2020-04-02 00:00:31.429,5.5
2020-04-02 00:00:32.389,5.5
2020-04-02 00:00:33.349,5.5
2020-04-02 00:00:34.309,5.5
2020-04-02 00:00:35.269,5.5
2020-04-02 00:00:36.229,5.5
2020-04-02 00:00:37.189,5.5
2020-04-02 00:00:38.149,5.5
2020-04-02 00:00:39.109,5.5
2020-04-02 00:00:40.069,5.5
2020-04-02 00:00:41.029,5.5
2020-04-02 00:00:41.989,5.5
2020-04-02 00:00:42.949,5.5
2020-04-02 00:00:43.909,5.5
2020-04-02 00:00:44.869,5.5
2020-04-02 00:00:45.829,5.5
2020-04-02 00:00:46.789,5.5
2020-04-02 00:00:47.749,5.5
2020-04-02 00:00:48.709,5.5
2020-04-02 00:00:49.669,5.5
2020-04-02 00:00:50.629,5.5
2020-04-02 00:00:51.589,5.5
2020-04-02 00:00:52.549,5.5
2020-04-02 00:00:53.509,5.5
2020-04-02 00:00:54.469,5.5
2020-04-02 00:00:55.429,5.5
2020-04-02 00:00:56.389,5.5
2020-04-02 00:00:57.349,5.5
2020-04-02 00:00:58.309,5.5
2020-04-02 00:00:59.278,5.5
2020-04-02 00:01:00.309,5.5
2020-04-02 00:01:01.269,5.5
2020-04-02 00:01:02.229,5.5
2020-04-02 00:01:03.189,5.5
2020-04-02 00:01:04.149,5.5
2020-04-02 00:01:05.109,5.5
2020-04-02 00:01:06.069,5.5
2020-04-02 00:01:07.029,5.5
2020-04-02 00:01:07.989,5.5
2020-04-02 00:01:08.949,5.5
2020-04-02 00:01:09.909,5.5
2020-04-02 00:01:10.869,5.5
2020-04-02 00:01:11.829,5.5
2020-04-02 00:01:12.789,5.5
2020-04-02 00:01:13.749,5.5
2020-04-02 00:01:14.709,5.5
2020-04-02 00:01:15.669,5.5
2020-04-02 00:01:16.629,5.5
2020-04-02 00:01:17.589,5.5
2020-04-02 00:01:18.549,5.5
2020-04-02 00:01:19.509,5.5
2020-04-02 00:01:20.469,5.5
2020-04-02 00:01:21.429,5.5
2020-04-02 00:01:22.389,5.5
2020-04-02 00:01:23.349,5.5
2020-04-02 00:01:24.309,5.5
2020-04-02 00:01:25.269,5.5
2020-04-02 00:01:26.229,5.5
